PM10;PM25;O3;NO2;SO2;C6H6;data_odczytu
20.5;16.5;24.6;16.2;14.2;0.5;1,00E+00
24.3;20;21.6;17.8;19;0.5;2,00E+00
24.3;20;19.3;18.4;20.2;0.5;3,00E+00
21;16.9;17.8;21.9;23.7;0.5;4,00E+00
18.1;14.1;14.8;31.3;21.6;0.4;5,00E+00
19.2;15.1;2.9;42.7;11.8;0.6;6,00E+00
19.8;15.2;2.2;47.3;8.6;0.9;7,00E+00
30.5;23.8;3.4;53.9;10.1;1.1;8,00E+00
32.1;24.1;9.1;47.3;11.5;1.4;9,00E+00
22;16.6;18.5;34.8;9.8;1;1,00E+01
23.7;18.3;21.1;26.1;9.4;0.8;1,10E+01
24.4;18.2;23.9;24.8;9.9;0.9;1,20E+01
24.2;18.4;24.9;26.5;11.1;0.9;1,30E+01
27.2;21.1;20.6;28.2;11.2;1;1,40E+01
27.8;21.4;11.9;40.8;11.7;1;1,50E+01
41.6;33;2.9;51.3;13.2;1.2;1,60E+01
49.3;41;1.6;50.5;12.1;1.6;1,70E+01
53.4;45.7;2.5;48.1;10.3;1.8;1,80E+01
53.3;45.7;2;47.8;10.6;1.9;1,90E+01
45.9;39.3;4.2;45.8;11.3;1.8;2,00E+01
51.6;44.6;3.5;41.4;10.9;1.6;2,10E+01
58.7;51;2.8;39.7;11.4;1.9;2,20E+01
56.7;49.1;2.9;38.8;11.6;1.9;2,30E+01
52;45.1;4.5;35.1;10.4;1.7;2,40E+01
51;44.5;8.2;25.1;8.3;1.6;2,50E+01
41.6;36;13.9;18.6;7.6;1.3;2,60E+01
36.5;31.3;16.2;18;9;1;2,70E+01
32.2;27.4;20.1;18.1;9.2;0.8;2,80E+01
29.4;24.8;24.3;14.5;8;0.7;2,90E+01
29.7;25;20.1;19.6;7.6;0.7;3,00E+01
31.1;26.1;17.3;24.4;7.8;0.7;3,10E+01
32.6;26.9;15.1;29;8.1;0.8;3,20E+01
31.5;26;18.8;24.8;8.8;1.1;3,30E+01
35.5;28.7;23.4;21.6;11.8;1.1;3,40E+01
34.7;27.6;26.9;20.6;11.5;1;3,50E+01
37.5;30.1;26.3;23.4;11.6;1.1;3,60E+01
48;39.3;23.8;26.1;13.9;1.4;3,70E+01
50.4;41.9;18.3;34.2;17.2;1.5;3,80E+01
53.3;43.5;11.1;44.8;19.3;1.7;3,90E+01
51.5;42.7;10.8;44.7;19.5;1.7;4,00E+01
50.4;42;12.4;42.2;16.6;1.7;4,10E+01
48.9;40.2;12.8;43.2;16.2;1.7;4,20E+01
42.4;34.8;17.7;37.6;18.1;1.5;4,30E+01
39.8;32.8;22.8;30.3;18.3;1.4;4,40E+01
34.1;28;29;22.4;15.7;1.2;4,50E+01
32.2;26.9;29.1;19.2;12.2;1;4,60E+01
31.8;26.9;28.2;17.4;10.4;1;4,70E+01
29;24.4;31.1;12.6;9;1;4,80E+01
29.3;24.8;30;11.4;8.9;0.8;4,90E+01
